Sale_ID,Date,Customer_ID,Bike_Model,Category,Price,Quantity,Discount,Store_Location,Salesperson_ID,Payment_Method,Channel,Customer_Age,Customer_Gender
1,7/11/2022,9390,Cruiser,Off Road,318.32,1,no,Philadelphia,589,Apple Pay,Online,70,Female
2,5/3/2024,3374,Hybrid Bike,Hybrid,3093.47,4,yes,Chicago,390,Apple Pay,Online,37,Male
3,9/1/2022,2689,Folding Bike,Road,4247.99,3,yes,San Antonio,338,PayPal,Online,59,Female
4,9/28/2022,3797,Mountain Bike,Off Road,1722.01,3,no ,San Antonio,352,Apple Pay,Online,19,Male
5,1/5/2021,1633,BMX,Off Road,3941.44,3,yes,Philadelphia,580,PayPal,Online,67,Female
6,9/6/2021,9663,Mountain Bike,Off Road,1778.12,5,yes,Chicago,829,Google Pay,Online,42,Male
7,6/8/2020,6049,Hybrid Bike,Hybrid,1513.6,4,yes,Philadelphia,916,Google Pay,Online,20,Male
8,8/22/2021,5784,Road Bike,Road,3825.94,1,no,Philadelphia,291,Debit Card,Store,57,Male
9,10/4/2020,9649,Road Bike,Road,614.94,3,yes,San Antonio,906,Debit Card,Store,62,Male
10,3/22/2023,3977,Electric Bike,Electric,2707.4,5,yes,Los Angeles,562,PayPal,Online,65,Male
11,8/14/2022,3879,Road Bike,Road,3350.94,4,yes,Houston,296,Debit Card,Store,41,Male
12,4/11/2022,1762,Cruiser,Off Road,2751.96,3,yes,New York,832,Google Pay,Online,27,Female
13,4/4/2021,9079,Folding Bike,Road,2087.23,1,no,Los Angeles,194,Apple Pay,Online,46,Female
14,10/3/2022,9754,BMX,Off Road,1801.14,2,no,San Antonio,811,Apple Pay,Online,45,Male
15,1/25/2021,8199,Cruiser,Off Road,1326.01,5,yes,Chicago,889,Credit Card,Online,36,Male
16,2/8/2020,1773,BMX,Off Road,2187.63,2,no,San Antonio,455,PayPal,Online,25,Male
17,11/12/2021,7868,Folding Bike,Road,732.01,4,no,Los Angeles,806,PayPal,Online,59,Male
18,9/11/2021,3357,Cruiser,Off Road,2646.24,3,yes,Houston,663,Cash,Store,21,Male
19,3/7/2022,4981,Hybrid Bike,Hybrid,1575.04,3,yes,New York,416,Google Pay,Online,53,Female
20,2/8/2020,8184,Hybrid Bike,Hybrid,1969.76,4,no ,New York,386,Google Pay,Online,51,Male
21,5/7/2021,4757,Electric Bike,Electric,1182.31,3,yes,New York,725,PayPal,Online,41,Female
22,6/5/2023,3344,Cruiser,Off Road,4747.34,5,yes,Los Angeles,865,Cash,Store,68,Male
23,6/27/2022,3559,Mountain Bike,Off Road,348.81,3,yes,Philadelphia,502,Cash,Store,55,Female
24,10/31/2020,8018,Cruiser,Off Road,2816.85,5,no,New York,682,Google Pay,Online,29,Male
